Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
A1CF	ACF, ACF64, ACF65, APOBEC1CF, ASP	ENSG00000148584	APOBEC1 complementation factor	10	50799409-50885675	Predicted intracellular proteins	Evidence at protein level	HPA037779, HPA044079	Enhanced		Supported	Nucleoplasm		Tissue enriched	Tissue enhanced		liver: 76.0;small intestine: 29.8	duodenum: 23.5	Group enriched	18	CACO-2: 19.3;Hep G2: 41.7
AAAS		ENSG00000094914	Aladin WD repeat nucleoporin	12	53307456-53324864	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA040086	Approved		Approved	Nuclear membrane<br>Centrosome<br>Cytosol	Renal cancer:2.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 46.2	Expressed in all		
AADAC	CES5A1, DAC	ENSG00000114771	Arylacetamide deacetylase	3	151814037-151828488	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA002911	Approved				Ovarian cancer:5.58e-6 (favourable), Stomach cancer:2.19e-4 (unfavourable), Pancreatic cancer:5.02e-4 (unfavourable)	Tissue enriched	Group enriched	5	adrenal gland: 150.1;duodenum: 182.4;liver: 386.8;small intestine: 215.8	stomach: 43.5	Cell line enhanced		A549: 7.3;EFO-21: 3.9;HBEC3-KT: 2.7
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Aminoadipate aminotransferase	4	170060222-170091699	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA037502	Enhanced		Approved	Vesicles<br>Plasma membrane	Colorectal cancer:5.59e-4 (favourable)	Expressed in all	Tissue enhanced		liver: 34.7	prostate: 23.4	Mixed		
AAED1	C9orf21	ENSG00000158122	AhpC/TSA antioxidant enzyme domain containing 1	9	96639577-96655303	Predicted intracellular proteins	Evidence at protein level	HPA021294	Approved				Renal cancer:3.26e-5 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 15.9	Mixed		
AAGAB	FLJ11506, p34	ENSG00000103591	Alpha- and gamma-adaptin binding protein	15	67201033-67255195	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA039371, HPA040174	Supported		Supported	Nuclear speckles<br>Cytosol	Renal cancer:1.36e-4 (favourable), Thyroid cancer:9.48e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 55.7	Expressed in all		
AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	AP2 associated kinase 1	2	69457997-69674349	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA017931, HPA020289	Enhanced		Supported	Plasma membrane<br>Cytosol	Ovarian cancer:3.19e-4 (unfavourable)	Expressed in all	Tissue enriched	7	parathyroid gland: 389.6	thyroid gland: 59.4	Expressed in all		
AAMDC	C11orf67, CK067, FLJ21035, PTD015	ENSG00000087884	Adipogenesis associated Mth938 domain containing	11	77821109-77918432	Predicted intracellular proteins	Evidence at protein level	HPA037918, HPA037919	Enhanced		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			skeletal muscle: 231.6	Expressed in all		
AAMP		ENSG00000127837	Angio associated migratory cell protein	2	218264123-218270257	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB017717, HPA031868	Approved		Supported	Microtubules<br>Cytosol	Liver cancer:4.94e-7 (unfavourable), Endometrial cancer:1.62e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 115.1	Expressed in all		
AAR2	bA234K24.2, C20orf4	ENSG00000131043	AAR2 splicing factor homolog	20	36236459-36270918	Predicted intracellular proteins	Evidence at protein level	CAB034220, HPA048645	Uncertain		Approved	Cytosol	Liver cancer:1.83e-6 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 41.9	Expressed in all		
