Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
A3GALT2	A3GALT2P, IGB3S, IGBS3S	ENSG00000184389	Alpha 1,3-galactosyltransferase 2	1	33306766-33321098	Enzymes, Predicted membrane proteins	Evidence at transcript level							Not detected	Not detected			testis: 0.6	Not detected		
A4GALT	A14GALT, Gb3S, P(k), P1	ENSG00000128274	Alpha 1,4-galactosyltransferase	22	42692121-42721298	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA001141, HPA076542			Supported	Mitochondria	Cervical cancer:2.48e-4 (favourable)	Expressed in all	Mixed			seminal vesicle: 30.5	Mixed		
AACS	ACSF1, FLJ12389, SUR-5	ENSG00000081760	Acetoacetyl-CoA synthetase	12	125065379-125143333	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA058815	Approved		Approved	Vesicles		Expressed in all	Expressed in all			breast: 55.0	Expressed in all		
AADACL3		ENSG00000188984	Arylacetamide deacetylase like 3	1	12716115-12728759	Predicted membrane proteins	Evidence at transcript level							Not detected	Tissue enhanced		placenta: 1.3	skin: 0.7	Not detected		
AADACL4		ENSG00000204518	Arylacetamide deacetylase like 4	1	12644547-12667086	Predicted membrane proteins	Evidence at protein level	HPA043588	Uncertain					Not detected	Not detected			epididymis: 0.7	Not detected		
AASDH	ACSF4, LYS2, NRPS998	ENSG00000157426	Aminoadipate-semialdehyde dehydrogenase	4	56338287-56387508	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA036472, HPA036473	Approved					Expressed in all	Mixed			parathyroid gland: 15.1	Expressed in all		
AATK	AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77	ENSG00000181409	Apoptosis associated tyrosine kinase	17	81117295-81166077	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA009073	Enhanced		Uncertain	Mitochondria		Mixed	Tissue enhanced		cerebral cortex: 36.4;duodenum: 23.4	small intestine: 18.3	Group enriched	5	CACO-2: 35.4;SH-SY5Y: 15.1
ABC7-42404400C24.1		ENSG00000277758		10	47750864-47763592	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA036971, HPA036972, HPA064559	Approved		Approved	Golgi apparatus		Not detected	Tissue enhanced		cerebral cortex: 13.8;lung: 19.3	skin: 5.7	Cell line enriched	7	SK-BR-3: 45.1
ABCA1	ABC1, HDLDT1, TGD	ENSG00000165029	ATP binding cassette subfamily A member 1	9	104781002-104928237	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA057283, CAB069889	Approved		Approved	Nucleoplasm<br>Vesicles		Expressed in all	Mixed			adrenal gland: 38.0	Cell line enhanced		U-87 MG: 76.7
ABCA10	EST698739	ENSG00000154263	ATP binding cassette subfamily A member 10	17	69147214-69244846	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA014535	Uncertain					Mixed	Mixed			ovary: 13.8	Cell line enhanced		HUVEC TERT2: 1.1;RT4: 1.0;U-2197: 1.8
