Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ABCG1	ABC8	ENSG00000160179	ATP binding cassette subfamily G member 1	21	42199689-42297244	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA031470, HPA031471	Approved		Supported	Golgi apparatus<br>Vesicles	Renal cancer:7.16e-6 (favourable)	Expressed in all	Expressed in all			lung: 43.5	Cell line enhanced		MCF7: 25.3;MOLT-4: 25.1;SCLC-21H: 26.2
ABHD1	FLJ36128, LABH1	ENSG00000143994	Abhydrolase domain containing 1	2	27123789-27130812	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044390	Uncertain					Mixed	Tissue enriched	17	testis: 30.0	liver: 1.7	Cell line enhanced		RPMI-8226: 1.1;T-47d: 3.0;U-266/70: 2.4;U-266/84: 1.9
ABHD14A	DKFZP564O243, DORZ1	ENSG00000248487	Abhydrolase domain containing 14A	3	51971426-51981199	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038153, HPA056913			Enhanced	Vesicles	Lung cancer:4.72e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 51.0	Expressed in all		
AC114783.1		ENSG00000237524		2	126898882-126902097	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	183	testis: 57.8	kidney: 0.3	Not detected		
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	17	63477061-63498380	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002426, CAB002921, HPA029298, HPA069790	Enhanced		Approved	Vesicles		Expressed in all	Tissue enhanced		duodenum: 178.9;small intestine: 291.6	testis: 83.7	Cell line enhanced		ASC TERT1: 44.4;HUVEC TERT2: 28.2
ACHE	YT	ENSG00000087085	Acetylcholinesterase (Cartwright blood group)	7	100889994-100896974	Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019704, HPA027098			Approved	Golgi apparatus<br>Vesicles	Renal cancer:3.88e-5 (unfavourable), Glioma:7.16e-4 (unfavourable)	Mixed	Tissue enhanced		skeletal muscle: 58.5	cerebral cortex: 14.1	Cell line enhanced		BEWO: 11.7;CACO-2: 17.5;K-562: 20.7;Karpas-707: 25.8
ACP2	LAP	ENSG00000134575	Acid phosphatase 2, lysosomal	11	47239302-47248906	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Endometrial cancer:1.04e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 41.2	Expressed in all		
ACPP	ACP-3, ACP3, PAP	ENSG00000014257	Acid phosphatase, prostate	3	132317367-132368298	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000071, HPA004335, HPA063916	Enhanced					Tissue enriched	Tissue enriched	145	prostate: 6030.6	esophagus: 41.4	Cell line enhanced		BJ hTERT+: 14.1;RPMI-8226: 39.1;U-87 MG: 14.6
ACSF2	ACSMW, FLJ20920	ENSG00000167107	Acyl-CoA synthetase family member 2	17	50426158-50474845	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA024693	Enhanced		Approved	Nucleoplasm<br>Microtubules<br>Cytosol	Renal cancer:2.17e-4 (unfavourable), Urothelial cancer:2.41e-4 (favourable)	Expressed in all	Tissue enhanced		kidney: 136.9	thyroid gland: 68.6	Expressed in all		
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Activin A receptor type 1	2	157736444-157875862	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007505, HPA046514	Approved		Approved	Nucleoli<br>Cytosol	Urothelial cancer:5.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 74.2	Mixed		
